id,Type,Source,Amount,Fee,Net,Currency,Created (UTC),Available On (UTC)
txn_3RcwGGPHRBS0GimP1wrlTF8C,charge,ch_3RcwGGPHRBS0GimP1MRNa3k6,6.60,0.50,6.10,usd,2025-06-22 22:21,2025-06-29 00:00
txn_3RcuYwPHRBS0GimP11yVocSq,charge,ch_3RcuYwPHRBS0GimP1zxYfr4i,15.08,0.90,14.18,usd,2025-06-22 20:32,2025-06-29 00:00
